id; word; sound
fruits; fruits;http://dict.leo.org/media/audio/wkTD6VQqz2vU3ybBdY_Tww.mp3
apple; apple;http://dict.leo.org/media/audio/1osduewW2M-BmDEqLRG83w.mp3
pear; pear;http://dict.leo.org/media/audio/7_pm_FJEmK59Z53ECW6xTQ.mp3
cherry; cherry;http://dict.leo.org/media/audio/B6vaRF_PsNIXOYmBFSPhxA.mp3
banana; banana;http://dict.leo.org/media/audio/T7X6WjynMiKp5aGVwY1CEA.mp3
city; city;http://dict.leo.org/media/audio/4gOQL0ycTHe-RbQxlZ8BUA.mp3
people; people;http://dict.leo.org/media/audio/Z1tSg1Mi0kz7q869uYVzhQ.mp3
man; man;http://dict.leo.org/media/audio/TevzKdP7ERx0uxvlTFLqoA.mp3
woman; woman;http://dict.leo.org/media/audio/KDS7OHux2SeH1Sg9LRw3gQ.mp3
child; child;http://dict.leo.org/media/audio/YSWf1RgVhJMTL2jxEJQmnQ.mp3
house; house;http://dict.leo.org/media/audio/Zd_rWRjsk7n9PM9WTo_NHg.mp3
street;street;http://dict.leo.org/media/audio/2NkstptoHqdSE2oukKwIYg.mp3
potato;potato;http://dict.leo.org/media/audio/G3D0N6CtSAPb-d6jBhh0Rg.mp3
tomato;tomato;http://dict.leo.org/media/audio/sSwKWghHT-2d1t28OaG3Zg.mp3
shopping;shopping;http://dict.leo.org/media/audio/lEbIyCflhRO24-nwDWa8LA.mp3
door;door;http://dict.leo.org/media/audio/XJ-kZQBe9TiCY_eTBkQaxg.mp3
wall;wall;http://dict.leo.org/media/audio/N0G7GgFqejpTr8JsKMbNig.mp3
supermarket;supermarket;http://dict.leo.org/media/audio/SmGsQpcNrVYl7DWm582ddg.mp3
money;money;http://dict.leo.org/media/audio/KsONCAu8TyOm0DDXlheP0g.mp3
bag;bag;http://dict.leo.org/media/audio/r2KAak5PF-25VmGlSL92Zw.mp3
cart;cart;http://dict.leo.org/media/audio/YfsBbkO80JkgxJBUvsgU2g.mp3
animal;animal;http://dict.leo.org/media/audio/BOlCnNj_57QSINEaUT_O8w.mp3
dog;dog;http://dict.leo.org/media/audio/IzD6uzYuxSJHf2AkJUWKJw.mp3
cat;cat;http://dict.leo.org/media/audio/BIBRyGuWK8ysEKU7-Br1ww.mp3
cow;cow;http://dict.leo.org/media/audio/PnwL_rm1HbYWDoxBLdrwKg.mp3
pig;pig;http://dict.leo.org/media/audio/UL6Cru82q8tsuuNSGm42Pg.mp3
horse;horse;http://dict.leo.org/media/audio/feGJcCeJOUgFfcHCQc3qIg.mp3
fish;fish;http://dict.leo.org/media/audio/36g_QvfvdZwHXQQdyGRk1A.mp3
bird;bird;http://dict.leo.org/media/audio/cvafdjgTZt6Yz7EZPwT0pQ.mp3
ant;ant;http://dict.leo.org/media/audio/WdS2e-4udPB7S2eKjNQ7EA.mp3
bee;bee;http://dict.leo.org/media/audio/FnvQ71XOrSJKx_2leNIBtg.mp3
administration;administration;http://dict.leo.org/media/audio/t-CIQ3knzuAKy4KQcusd5w.mp3
townhall;town hall;http://dict.leo.org/media/audio/9uJug41lL0iLMKfDhaqr3A.mp3
form;form;http://dict.leo.org/media/audio/ZC7-CC0pQ7eK0Te9b2Wxqw.mp3
